,Name,Province,Climate ID,Station ID,WMO ID,TC ID,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Latitude,Longitude,Elevation (m),First Year,Last Year,HLY First Year,HLY Last Year,DLY First Year,DLY Last Year,MLY First Year,MLY Last Year
6780,LAC EDOUARD,QUEBEC,7013640,5232,,,47.65,-72.27,473900000.0,-721600000.0,369.7,1949,1958,,,1949.0,1958.0,1949.0,1958.0
6781,LAC EDOUARD S,QUEBEC,7013642,5233,,,47.67,-72.27,474000000.0,-721600000.0,364.2,1973,1975,,,1973.0,1975.0,1973.0,1975.0
6782,LAC JACQUES CARTIER,QUEBEC,7013655,5234,,,47.57,-71.23,473400000.0,-711400000.0,798.6,1963,1974,,,1963.0,1974.0,1963.0,1974.0
6783,LAC MINOGAMI,QUEBEC,7013678,5235,,,46.67,-72.87,464000000.0,-725200000.0,259.1,1964,1978,,,1964.0,1978.0,1964.0,1978.0
6784,LAKE EDWARD,QUEBEC,7013735,5236,,,47.65,-72.25,473900000.0,-721500000.0,406.3,1910,1925,,,1910.0,1925.0,1910.0,1925.0
6785,L'ASSOMPTION,QUEBEC,7014160,5237,71524.0,WEW,45.81,-73.43,454834000.0,-732605000.0,21.0,1930,2022,1994.0,2022.0,1930.0,2022.0,1930.0,1994.0
6786,LAVALTRIE CDA,QUEBEC,7014260,5238,,,45.93,-73.32,455600000.0,-731900000.0,30.5,1957,1982,,,1957.0,1982.0,1957.0,1982.0
6787,LES CEDRES,QUEBEC,7014290,5239,,,45.3,-74.05,451800000.0,-740300000.0,47.2,1913,2022,,,1913.0,2022.0,1913.0,2018.0
6788,LES SAULES,QUEBEC,7014298,5240,,,46.82,-71.32,464900000.0,-711900000.0,25.9,1973,1973,,,1973.0,1973.0,1973.0,1973.0
6789,LINTON,QUEBEC,7014325,5241,,,47.27,-72.25,471600000.0,-721500000.0,270.4,1949,1955,,,1949.0,1955.0,1949.0,1955.0
6790,LORETTEVILLE,QUEBEC,7014329,5242,,,46.87,-71.37,465200000.0,-712200000.0,129.5,1977,1982,,,1977.0,1982.0,1977.0,1982.0
6791,LOUISEVILLE,QUEBEC,7014332,5243,,,46.27,-73.02,461600000.0,-730100000.0,45.0,1967,2022,,,1967.0,2022.0,1967.0,2018.0
6792,MASCOUCHE,QUEBEC,7014629,5244,,,45.75,-73.6,454500000.0,-733600000.0,15.2,1973,2006,,,1973.0,2006.0,1973.0,2006.0
6793,MASKINONGE,QUEBEC,7014630,5245,,,46.23,-73.02,461400000.0,-730100000.0,15.2,1957,1973,,,1957.0,1973.0,1957.0,1973.0
6794,NEUFCHATEL,QUEBEC,7015417,5246,,,46.85,-71.37,465100000.0,-712200000.0,91.4,1973,1977,,,1973.0,1977.0,1973.0,1977.0
6795,NOTRE DAME DE LA MERCI,QUEBEC,7015665,5247,,,46.23,-74.05,461400000.0,-740300000.0,365.8,1973,1994,,,1973.0,1994.0,1973.0,1994.0
6796,OKA,QUEBEC,7015730,5248,,,45.5,-74.07,453000000.0,-740400000.0,91.4,1937,2022,,,1937.0,2022.0,1937.0,2018.0
6797,L'ETAPE,QUEBEC,7015791,10871,71382.0,WPD,47.56,-71.23,473344000.0,-711344000.0,791.2,1993,2022,1994.0,2022.0,1993.0,2022.0,2005.0,2005.0
6798,QUEBEC,QUEBEC,7016280,5249,,,46.8,-71.22,464800000.0,-711300000.0,90.2,1872,1959,,,1872.0,1959.0,1872.0,1959.0
6799,QUEBEC 2,QUEBEC,7016281,5250,,,46.8,-71.27,464800000.0,-711600000.0,76.2,1956,1968,,,1956.0,1968.0,1956.0,1968.0
6800,QUEBEC INTL A,QUEBEC,7016293,51457,,YQB,46.79,-71.39,464728000.0,-712336000.0,74.4,2013,2022,2013.0,2022.0,2018.0,2022.0,,
6801,QUEBEC/JEAN LESAGE INTL A,QUEBEC,7016294,5251,71708.0,YQB,46.8,-71.38,464800000.0,-712300000.0,74.4,1943,2017,1953.0,2013.0,1943.0,2017.0,1943.0,2012.0
6802,RAWDON,QUEBEC,7016350,43189,,MWD,46.02,-73.81,460111339.0,-734853579.0,210.0,2005,2007,2005.0,2007.0,,,,
6803,RIGAUD,QUEBEC,7016470,5252,,,45.5,-74.37,453000000.0,-742200000.0,46.0,1963,2022,,,1963.0,2022.0,1963.0,2018.0
6804,RIGAUD 2,QUEBEC,7016472,41737,,MRI,45.48,-74.29,452857000.0,-741733000.0,30.2,2003,2006,2003.0,2006.0,2003.0,2006.0,,
6805,SAINT-POLYCARPE,QUEBEC,7016474,32462,,MPL,45.31,-74.29,451819000.0,-741735000.0,55.7,2003,2007,2003.0,2007.0,2003.0,2007.0,,
6806,RIVIERE A PIERRE,QUEBEC,7016560,5253,,,47.0,-72.17,470000000.0,-721000000.0,221.0,1949,1994,,,1949.0,1994.0,1949.0,1994.0
6807,RIVIERE VERTE OUEST,QUEBEC,7016675,5254,,,46.98,-71.83,465900000.0,-715000000.0,213.4,1966,2022,,,1966.0,2022.0,1966.0,2018.0
6808,ST ALBAN,QUEBEC,7016800,5255,,,46.72,-72.08,464300000.0,-720500000.0,76.2,1949,2022,,,1949.0,2022.0,1949.0,2018.0
6809,ST ALEXIS DES MONTS,QUEBEC,7016816,5256,,,46.53,-73.15,463200000.0,-730900000.0,183.0,1963,2022,,,1963.0,2022.0,1963.0,2018.0
6810,STE ANNE DE LA PERADE,QUEBEC,7016840,5257,,,46.58,-72.23,463500000.0,-721400000.0,16.0,1949,2022,,,1949.0,2022.0,1949.0,2018.0
6811,ST AUGUSTIN,QUEBEC,7016900,5258,,,46.73,-71.5,464400000.0,-713000000.0,57.9,1964,1989,,,1964.0,1989.0,1964.0,1989.0
6812,STE BEATRIX,QUEBEC,7016902,5259,,,46.2,-73.6,461200000.0,-733600000.0,198.0,1974,2022,,,1974.0,2022.0,1974.0,2018.0
6813,ST BENOIT,QUEBEC,7016906,5260,,,45.57,-74.05,453400000.0,-740300000.0,53.0,1973,1991,,,1973.0,1991.0,1973.0,1991.0
6814,STE CATHERINE,QUEBEC,7016932,5261,,,46.85,-71.62,465100000.0,-713700000.0,152.4,1964,1992,,,1964.0,1992.0,1964.0,1992.0
6815,ST CHARLES DE MANDEVILLE,QUEBEC,7016960,5262,,,46.35,-73.35,462100000.0,-732100000.0,167.6,1921,2022,,,1921.0,2022.0,1921.0,2018.0
6816,ST CHARLES MANDEVILLE 2,QUEBEC,7016981,5263,,,46.37,-73.35,462200000.0,-732100000.0,173.7,1968,1970,,,1968.0,1970.0,1968.0,1970.0
6817,STE CHRISTINE,QUEBEC,7017000,5266,,,46.82,-71.92,464900000.0,-715500000.0,152.1,1950,2022,,,1950.0,2022.0,1950.0,2018.0
6818,ST CLET NORD,QUEBEC,7017032,5267,,,45.38,-74.25,452300000.0,-741500000.0,61.0,1966,1982,,,1966.0,1982.0,1966.0,1982.0
6819,ST COME,QUEBEC,7017080,5268,,,46.28,-73.75,461700000.0,-734500000.0,244.0,1950,2021,,,1950.0,2021.0,1950.0,2018.0
6820,ST DONAT,QUEBEC,7017100,5269,,,46.32,-74.2,461900000.0,-741200000.0,388.6,1964,2014,,,1964.0,2014.0,1964.0,2014.0
6821,STE ELIZABETH,QUEBEC,7017148,5270,,,46.07,-73.37,460400000.0,-732200000.0,45.7,1979,1985,,,1979.0,1985.0,1979.0,1985.0
6822,ST ETIENNE DES GRES,QUEBEC,7017220,5271,,,46.45,-72.8,462700000.0,-724800000.0,106.7,1957,1960,,,1957.0,1960.0,1957.0,1960.0
6823,STE FOY,QUEBEC,7017265,5272,,,46.75,-71.27,464500000.0,-711600000.0,91.4,1958,1972,,,1958.0,1972.0,1958.0,1972.0
6824,ST GABRIEL DE BRANDON,QUEBEC,7017270,5273,,,46.3,-73.38,461800000.0,-732300000.0,198.1,1919,1985,,,1919.0,1985.0,1919.0,1985.0
6825,ST JACQUES,QUEBEC,7017380,5274,,,45.95,-73.58,455700000.0,-733500000.0,69.0,1957,2018,,,1957.0,2018.0,1957.0,2016.0
6826,ST JANVIER,QUEBEC,7017386,5275,,,45.73,-73.88,454400000.0,-735300000.0,61.0,1973,2016,,,1973.0,2016.0,1973.0,2016.0
6827,ST JOSEPH DE MEKINAC,QUEBEC,7017422,5276,,,46.92,-72.68,465500000.0,-724100000.0,121.9,1973,1994,,,1973.0,1994.0,1973.0,1994.0
6828,ST JUSTIN,QUEBEC,7017435,5277,,,46.27,-73.1,461600000.0,-730600000.0,46.0,1973,1994,,,1973.0,1994.0,1973.0,1994.0
6829,ST LAZARE,QUEBEC,7017445,5278,,,45.4,-74.2,452400000.0,-741200000.0,99.1,1963,1985,,,1963.0,1985.0,1963.0,1985.0
6830,SAINT-LIN-LAURENTIDES,QUEBEC,7017479,42903,,MLT,45.85,-73.7,455051547.0,-734150989.0,50.0,2004,2007,2004.0,2007.0,,,,
