,Name,Province,Climate ID,Station ID,WMO ID,TC ID,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Latitude,Longitude,Elevation (m),First Year,Last Year,HLY First Year,HLY Last Year,DLY First Year,DLY Last Year,MLY First Year,MLY Last Year
6907,COMPTON STATION CDA FE,QUEBEC,7021917,5341,,,45.22,-71.87,451300000.0,-715200000.0,312.4,1960,1975,,,1960.0,1975.0,1960.0,1975.0
6908,COOKSHIRE,QUEBEC,7021918,5342,,,45.42,-71.63,452500000.0,-713800000.0,212.8,1964,1980,,,1964.0,1980.0,1964.0,1980.0
6909,COTE ST LUC,QUEBEC,7021945,5343,,,45.45,-73.67,452700000.0,-734000000.0,48.8,1960,1963,,,1960.0,1963.0,1960.0,1963.0
6910,COVEY HILL,QUEBEC,7021950,42605,,MCW,45.01,-73.87,450050000.0,-735224000.0,262.0,2004,2007,2004.0,2007.0,,,,
6911,CRANBOURNE,QUEBEC,7021952,5344,,,46.38,-70.7,462300000.0,-704200000.0,,1875,1890,,,1875.0,1890.0,1875.0,1890.0
6912,DANVILLE,QUEBEC,7021954,5345,,,45.82,-71.98,454900000.0,-715900000.0,190.0,1871,2022,,,1871.0,2022.0,1871.0,2018.0
6913,DISRAELI,QUEBEC,7022000,5346,,,45.92,-71.32,455500000.0,-711900000.0,350.0,1908,1991,,,1908.0,1991.0,1908.0,1991.0
6914,DOUANES ARMSTRONG,QUEBEC,7022127,5347,,,45.82,-70.4,454900000.0,-702400000.0,563.9,1965,1966,,,1965.0,1966.0,1965.0,1966.0
6915,DRUMMONDVILLE,QUEBEC,7022160,5348,,,45.88,-72.48,455300000.0,-722900000.0,82.3,1913,2022,,,1913.0,2022.0,1913.0,2018.0
6916,DUNHAM,QUEBEC,7022245,5350,,,45.1,-72.82,450600000.0,-724900000.0,204.2,1961,1962,,,1961.0,1962.0,1962.0,1962.0
6917,DUNHAM,QUEBEC,7022246,5351,,,45.15,-72.82,450900000.0,-724900000.0,121.0,1968,1985,,,1968.0,1985.0,1968.0,1985.0
6918,DUVERNAY,QUEBEC,7022250,5352,,,45.63,-73.68,453800000.0,-734100000.0,30.5,1960,1961,,,1960.0,1961.0,1960.0,1961.0
6919,EAST ANGUS,QUEBEC,7022280,5353,,,45.48,-71.67,452900000.0,-714000000.0,189.0,1919,1985,,,1919.0,1985.0,1919.0,1985.0
6920,EAST BROUGHTON,QUEBEC,7022285,5354,,,46.22,-71.08,461300000.0,-710500000.0,365.8,1965,1974,,,1965.0,1974.0,1965.0,1974.0
6921,EAST CLIFTON NORTH,QUEBEC,7022288,5355,,,45.27,-71.57,451600000.0,-713400000.0,373.7,1965,1976,,,1965.0,1976.0,1965.0,1976.0
6922,DURHAM SUD,QUEBEC,70222DR,5349,,,45.63,-72.35,453800000.0,-722100000.0,191.1,1981,1994,,,1981.0,1994.0,1981.0,1994.0
6923,EAST HEREFORD,QUEBEC,7022300,5356,,,45.08,-71.5,450500000.0,-713000000.0,358.0,1949,1994,,,1949.0,1994.0,1949.0,1994.0
6924,EATON SECOND BRANCH,QUEBEC,7022306,5357,,,45.27,-71.43,451600000.0,-712600000.0,491.6,1966,1981,,,1966.0,1981.0,1966.0,1981.0
6925,FARNHAM,QUEBEC,7022320,5358,,,45.3,-72.9,451800000.0,-725400000.0,68.0,1917,2022,,,1917.0,2022.0,1917.0,2018.0
6926,FARNHAM S,QUEBEC,7022325,5359,,,45.25,-72.97,451500000.0,-725800000.0,59.4,1973,1974,,,1973.0,1974.0,1973.0,1974.0
6927,FLANDERS,QUEBEC,7022374,5360,,,45.37,-71.55,452200000.0,-713300000.0,,1973,1977,,,1973.0,1977.0,1973.0,1977.0
6928,FLEURY,QUEBEC,7022375,5361,,,45.8,-73.0,454800000.0,-730000000.0,30.5,1967,2022,,,1967.0,2022.0,1967.0,2018.0
6929,FORTIERVILLE,QUEBEC,7022494,5362,,,46.48,-72.05,462900000.0,-720300000.0,53.3,1973,2022,,,1973.0,2022.0,1973.0,2018.0
6930,FRAMPTON,QUEBEC,7022553,5363,,,46.43,-70.83,462600000.0,-705000000.0,426.7,1965,1985,,,1965.0,1985.0,1965.0,1985.0
6931,FRANKLIN CENTRE,QUEBEC,7022560,5364,,,45.03,-73.9,450200000.0,-735400000.0,144.8,1954,1985,,,1954.0,1985.0,1955.0,1985.0
6932,FRELIGHSBURG,QUEBEC,7022579,10815,71373.0,WFQ,45.03,-72.85,450200000.0,-725100000.0,224.0,1993,2022,1994.0,2022.0,1993.0,2022.0,,
6933,FRELIGHSBURG,QUEBEC,7022580,5365,,,45.05,-72.87,450300000.0,-725200000.0,112.8,1960,1965,,,1960.0,1965.0,1960.0,1965.0
6934,GARTHBY,QUEBEC,7022596,5366,,,45.83,-71.38,455000000.0,-712300000.0,251.0,1963,1994,,,1963.0,1994.0,1963.0,1994.0
6935,GENTILLY,QUEBEC,7022700,5367,,,46.4,-72.37,462400000.0,-722200000.0,6.1,1973,1975,,,1973.0,1975.0,1974.0,1975.0
6936,GEORGEVILLE,QUEBEC,7022720,5368,,,45.13,-72.23,450800000.0,-721400000.0,266.7,1951,2021,,,1951.0,2021.0,1951.0,2018.0
6937,GRANBY,QUEBEC,7022800,5369,,,45.38,-72.72,452300000.0,-724300000.0,175.0,1948,2022,,,1948.0,2022.0,1948.0,2018.0
6938,GRANBY,QUEBEC,7022802,42013,,MGB,45.37,-72.77,452222000.0,-724626000.0,86.0,2003,2022,2003.0,2022.0,2018.0,2022.0,,
6939,HAM NORD,QUEBEC,7022985,5370,,,45.93,-71.63,455600000.0,-713800000.0,403.9,1965,1982,,,1965.0,1982.0,1965.0,1982.0
6940,HATLEY,QUEBEC,7023005,5371,,,45.2,-71.95,451200000.0,-715700000.0,304.8,1965,1985,,,1965.0,1985.0,1965.0,1985.0
6941,HEMMINGFORD,QUEBEC,7023073,5372,,,45.05,-73.58,450300000.0,-733500000.0,84.7,1963,1965,,,1963.0,1965.0,1963.0,1965.0
6942,HEMMINGFORD FOUR WINDS,QUEBEC,7023075,5373,,,45.07,-73.72,450400000.0,-734300000.0,61.0,1960,2022,,,1960.0,2022.0,1960.0,2018.0
6943,HOWICK,QUEBEC,7023200,42008,,MHW,45.17,-73.87,451018000.0,-735215000.0,42.0,2003,2007,2003.0,2007.0,,,,
6944,HUNTINGDON,QUEBEC,7023240,5374,,,45.05,-74.17,450300000.0,-741000000.0,49.1,1870,2008,,,1870.0,2008.0,1870.0,2008.0
6945,HUNTINGDON TEAFIELD,QUEBEC,7023256,5375,,,45.13,-74.23,450800000.0,-741400000.0,53.3,1960,1960,,,1960.0,1960.0,1960.0,1960.0
6946,IBERVILLE,QUEBEC,7023270,5376,,,45.33,-73.25,452000000.0,-731500000.0,30.5,1963,2016,,,1963.0,2016.0,1963.0,2016.0
6947,ILE CHARRON,QUEBEC,702327R,10790,,WVZ,45.58,-73.49,453502000.0,-732930000.0,11.5,1994,2007,1994.0,2007.0,,,,
6948,VARENNES,QUEBEC,702327X,26856,71184.0,WHM,45.72,-73.38,454323000.0,-732236000.0,17.9,1994,2016,1994.0,2016.0,1994.0,2016.0,,
6949,INVERNESS,QUEBEC,7023284,5377,,,46.25,-71.52,461500000.0,-713100000.0,236.2,1965,1982,,,1965.0,1982.0,1965.0,1982.0
6950,ISLAND BROOK,QUEBEC,7023312,5378,,,45.38,-71.47,452300000.0,-712800000.0,345.6,1965,1981,,,1965.0,1981.0,1965.0,1981.0
6951,ISLAND BROOK NORTH,QUEBEC,7023313,5379,,,45.45,-71.45,452700000.0,-712700000.0,,1973,1974,,,1973.0,1974.0,1973.0,1974.0
6952,KINGSEY,QUEBEC,7023460,5380,,,45.83,-72.0,455000000.0,-720000000.0,129.5,1957,1974,,,1957.0,1974.0,1957.0,1974.0
6953,KINNEARS MILLS,QUEBEC,7023465,5381,,,46.2,-71.38,461200000.0,-712300000.0,365.8,1965,1982,,,1965.0,1982.0,1965.0,1982.0
6954,KNOWLTON,QUEBEC,7023530,5382,,,45.22,-72.5,451300000.0,-723000000.0,205.7,1958,1982,,,1958.0,1982.0,1958.0,1982.0
6955,L'ARTIFICE,QUEBEC,7023545,42009,,MLA,45.07,-73.83,450411000.0,-734958000.0,61.0,2004,2007,2004.0,2007.0,,,,
6956,LAC BROMONT,QUEBEC,7023568,5383,,,45.27,-72.67,451600000.0,-724000000.0,137.2,1968,1973,,,1968.0,1973.0,1968.0,1973.0
6957,LAC MEGANTIC,QUEBEC,7023675,5384,,,45.6,-70.87,453600000.0,-705200000.0,400.5,1960,1963,,,1960.0,1963.0,1960.0,1963.0
6958,LAC MEGANTIC 2,QUEBEC,7023677,5385,,,45.6,-70.87,453600000.0,-705200000.0,426.0,1963,2022,,,1963.0,2022.0,1963.0,2018.0
6959,LAC MEGANTIC,QUEBEC,7023680,51638,,MUS,45.6,-70.88,453600000.0,-705300000.0,460.3,2013,2019,2013.0,2019.0,2018.0,2019.0,,
6960,NANTES,QUEBEC,7023681,54938,73115.0,MUS,45.61,-70.93,453622092.0,-705557086.0,477.0,2019,2022,2019.0,2022.0,2019.0,2022.0,,
6961,LAKE MEGANTIC,QUEBEC,7023800,5386,,,45.6,-70.88,453600000.0,-705300000.0,400.5,1913,1947,,,1913.0,1947.0,1913.0,1947.0
6962,LAMBTON,QUEBEC,7024000,5387,,,45.83,-71.08,455000000.0,-710500000.0,365.8,1915,1994,,,1915.0,1994.0,1915.0,1994.0
6963,LA PATRIE,QUEBEC,7024080,5388,,,45.4,-71.25,452400000.0,-711500000.0,381.0,1949,1981,,,1949.0,1981.0,1949.0,1981.0
6964,LAPRAIRIE,QUEBEC,7024100,5389,,,45.38,-73.43,452300000.0,-732600000.0,30.0,1963,2022,,,1963.0,2022.0,1963.0,2018.0
6965,LA PROVIDENCE,QUEBEC,7024102,5390,,,45.62,-72.95,453700000.0,-725700000.0,33.0,1990,1991,,,1990.0,1991.0,1990.0,1991.0
6966,LA SALLE,QUEBEC,7024118,5391,,,45.43,-73.62,452600000.0,-733700000.0,22.9,1973,1983,,,1973.0,1983.0,1973.0,1983.0
6967,LAURIERVILLE,QUEBEC,7024250,5392,,,46.33,-71.67,462000000.0,-714000000.0,152.0,1963,2022,,,1963.0,2022.0,1963.0,2018.0
6968,LAUZON,QUEBEC,7024254,5393,,,46.82,-71.1,464900000.0,-710600000.0,69.0,1978,2022,,,1978.0,2022.0,1979.0,2018.0
6969,LAVAL DES RAPIDES,QUEBEC,7024256,5394,,,45.53,-73.7,453200000.0,-734200000.0,36.6,1965,1976,,,1965.0,1976.0,1965.0,1976.0
6970,LAWRENCE,QUEBEC,7024263,5395,,,45.42,-71.43,452500000.0,-712600000.0,417.3,1966,1981,,,1966.0,1981.0,1966.0,1981.0
6971,LEARNED PLAIN,QUEBEC,7024270,5396,,,45.43,-71.55,452600000.0,-713300000.0,,1973,1981,,,1973.0,1981.0,1973.0,1981.0
6972,LENNOXVILLE,QUEBEC,7024280,5397,71611.0,WQH,45.37,-71.82,452208000.0,-714925000.0,181.0,1888,2022,1994.0,2022.0,1888.0,2022.0,1888.0,1995.0
6973,LINGWICK,QUEBEC,7024320,5398,,,45.63,-71.37,453800000.0,-712200000.0,266.7,1952,2022,,,1952.0,2022.0,1952.0,2018.0
6974,LITTLE CANADA EAST,QUEBEC,7024327,5399,,,45.37,-71.2,452200000.0,-711200000.0,,1973,1977,,,1973.0,1977.0,1973.0,1977.0
6975,MACDONALD COLLEGE,QUEBEC,7024400,5400,,,45.42,-73.93,452500000.0,-735600000.0,27.4,1906,1976,,,1906.0,1976.0,1906.0,1976.0
6976,MAGOG,QUEBEC,7024440,5401,,,45.27,-72.12,451600000.0,-720700000.0,274.0,1948,2022,,,1948.0,2022.0,1948.0,2018.0
6977,MANSEAU,QUEBEC,7024615,5402,,,46.33,-71.98,462000000.0,-715900000.0,96.0,1978,1994,,,1978.0,1994.0,1978.0,1994.0
6978,MAPLE LEAF,QUEBEC,7024623,5403,,,45.33,-71.5,452000000.0,-713000000.0,366.1,1965,1976,,,1965.0,1976.0,1965.0,1976.0
6979,MAPLE LEAF EAST,QUEBEC,7024624,5404,,,45.33,-71.4,452000000.0,-712400000.0,444.7,1965,1981,,,1965.0,1981.0,1965.0,1981.0
6980,MAPLE LEAF SOUTH,QUEBEC,7024625,5405,,,45.32,-71.47,451900000.0,-712800000.0,,1973,1973,,,1973.0,1973.0,1973.0,1973.0
6981,MARIEVILLE,QUEBEC,7024627,5406,,,45.4,-73.13,452400000.0,-730800000.0,38.0,1960,2022,,,1960.0,2022.0,1960.0,2018.0
6982,MARTINVILLE,QUEBEC,7024628,5407,,,45.3,-71.73,451800000.0,-714400000.0,259.1,1965,1982,,,1965.0,1982.0,1965.0,1982.0
6983,MCTAVISH,QUEBEC,7024745,10761,71612.0,WTA,45.5,-73.58,453017070.0,-733445000.0,72.8,1994,2022,1994.0,2022.0,1994.0,2022.0,,
6984,MEGANTIC A,QUEBEC,7024800,5408,,,45.58,-70.87,453500000.0,-705200000.0,415.1,1939,1962,,,1939.0,1962.0,1939.0,1962.0
6985,MELOCHEVILLE,QUEBEC,7024858,5409,,,45.32,-73.95,451900000.0,-735700000.0,30.5,1973,1985,,,1973.0,1985.0,1973.0,1985.0
6986,MERCIER,QUEBEC,7024878,5410,,,45.32,-73.78,451900000.0,-734700000.0,30.5,1973,1985,,,1973.0,1985.0,1973.0,1985.0
6987,MILAN,QUEBEC,7024920,5411,,,45.58,-71.12,453500000.0,-710700000.0,481.6,1949,2015,,,1949.0,2015.0,1949.0,2015.0
6988,MOBILE UPPER AIR STATION-QUEBEC,QUEBEC,7025000,47888,71054.0,EUQ,45.43,-73.93,452536000.0,-735544040.0,38.0,2014,2021,2014.0,2021.0,2017.0,2021.0,,
6989,MOE'S RIVER,QUEBEC,7025060,5412,,,45.25,-71.78,451500000.0,-714700000.0,254.5,1963,1981,,,1965.0,1981.0,1963.0,1981.0
6990,MONT MEGANTIC,QUEBEC,7025212,5413,,,45.45,-71.15,452700000.0,-710900000.0,1111.0,1978,1989,,,1978.0,1989.0,1978.0,1989.0
6991,MONTREAL ADAC A,QUEBEC,7025228,8343,,,45.48,-73.55,452900000.0,-733300000.0,21.3,1974,1976,1974.0,1976.0,,,,
6992,MONT-ORFORD,QUEBEC,7025229,10892,,WHY,45.31,-72.24,451842360.0,-721426432.0,846.06,1993,2007,1994.0,2007.0,1993.0,2007.0,,
6993,MONTREAL ICE CONTROL,QUEBEC,7025245,5414,,,45.47,-73.5,452800000.0,-733000000.0,14.3,1967,1970,,,1967.0,1970.0,1967.0,1970.0
6994,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,QUEBEC,7025250,5415,71627.0,YUL,45.47,-73.75,452800000.0,-734500000.0,35.97,1941,2013,1953.0,2013.0,1941.0,2013.0,1941.0,2013.0
6995,MONTREAL INTL A,QUEBEC,7025251,51157,71627.0,YUL,45.47,-73.74,452814000.0,-734427000.0,36.0,2013,2022,2013.0,2022.0,2013.0,2022.0,,
6996,MONTREAL-EST,QUEBEC,7025252,26855,,WPQ,45.63,-73.55,453805000.0,-733311000.0,50.4,1994,2008,1994.0,2008.0,1994.0,2008.0,,
6997,MONTREAL JAR BOT,QUEBEC,7025257,5416,,,45.57,-73.55,453400000.0,-733300000.0,45.7,1948,1989,,,1948.0,1989.0,1948.0,1989.0
6998,MONTREAL JEAN BREBEUF,QUEBEC,7025260,5417,,,45.5,-73.62,453000000.0,-733700000.0,132.6,1956,1985,,,1956.0,1985.0,1956.0,1985.0
6999,MONTREAL LAFONTAINE,QUEBEC,7025267,5418,,,45.52,-73.57,453100000.0,-733400000.0,41.1,1971,1992,,,1971.0,1992.0,1971.0,1992.0
7000,MONTREAL LOYOLA,QUEBEC,7025270,5419,,,45.47,-73.63,452800000.0,-733800000.0,55.8,1964,1964,,,1964.0,1964.0,1964.0,1964.0
7001,MONTREAL MCGILL,QUEBEC,7025280,5420,,,45.5,-73.58,453000000.0,-733500000.0,56.9,1871,1993,,,1871.0,1993.0,1871.0,1993.0
7002,MONTREAL PERSILLIER,QUEBEC,7025315,5421,,,,,,,,1948,1950,,,1948.0,1950.0,1948.0,1950.0
7003,MONT ST HILAIRE,QUEBEC,7025328,5422,,,45.58,-73.18,453500000.0,-731100000.0,30.5,1976,1979,,,1976.0,1979.0,1976.0,1979.0
7004,MONT ST HILAIRE,QUEBEC,7025330,5423,,,45.55,-73.08,453300000.0,-730500000.0,173.7,1960,1969,,,1960.0,1969.0,1960.0,1969.0
7005,MONT ST HILAIRE MCGILL,QUEBEC,7025332,5424,,,45.55,-73.17,453300000.0,-731000000.0,210.3,1967,1974,,,1967.0,1974.0,1967.0,1973.0
7006,NEW MEXICO,QUEBEC,7025425,5425,,,45.35,-71.48,452100000.0,-712900000.0,,1973,1975,,,1973.0,1975.0,1973.0,1975.0
7007,NICOLET,QUEBEC,7025440,5426,,,46.2,-72.62,461200000.0,-723700000.0,30.4,1913,2018,,,1913.0,2018.0,1913.0,2018.0
7008,NICOLET,QUEBEC,7025442,10732,71723.0,WNQ,46.23,-72.66,461333000.0,-723926000.0,8.0,1993,2022,1994.0,2022.0,1993.0,2022.0,,
7009,NORTH HATLEY,QUEBEC,7025660,5427,,,45.28,-71.95,451700000.0,-715700000.0,243.8,1965,1982,,,1965.0,1982.0,1965.0,1982.0
7010,NOTRE DAME DES BOIS,QUEBEC,7025670,5428,,,45.4,-71.08,452400000.0,-710500000.0,502.9,1962,2016,,,1965.0,2016.0,1962.0,2016.0
7011,ORMSTOWN,QUEBEC,7025745,5429,,,45.12,-74.05,450700000.0,-740300000.0,45.7,1962,2022,,,1962.0,2022.0,1962.0,2018.0
7012,PETIT LAC,QUEBEC,7026005,5430,,,45.4,-71.58,452400000.0,-713500000.0,,1973,1981,,,1973.0,1981.0,1973.0,1981.0
7013,PHILIPSBURG,QUEBEC,7026040,5431,,,45.03,-73.08,450200000.0,-730500000.0,53.3,1950,2015,,,1950.0,2015.0,1950.0,2015.0
7014,PIEDMONT,QUEBEC,7026042,42014,,MPD,45.88,-74.09,455300000.0,-740532000.0,175.0,2003,2007,2003.0,2007.0,,,,
7015,PIERREVILLE,QUEBEC,7026043,5432,,,46.08,-72.83,460500000.0,-725000000.0,15.2,1980,2022,,,1980.0,2022.0,1981.0,2018.0
7016,PLESSISVILLE,QUEBEC,7026058,5433,,,46.2,-71.75,461200000.0,-714500000.0,,1947,1948,,,1947.0,1948.0,1947.0,1948.0
7017,POINTE CLAIRE,QUEBEC,7026073,5435,,,45.47,-73.8,452800000.0,-734800000.0,41.1,1973,1985,,,1973.0,1985.0,1973.0,1985.0
7018,POINTE DU MOULIN,QUEBEC,702607F,5434,,,45.35,-73.92,452100000.0,-735500000.0,38.1,1973,1994,,,1973.0,1994.0,1973.0,1994.0
7019,POSTE SARAGUAY,QUEBEC,7026213,5436,,,45.5,-73.75,453000000.0,-734500000.0,30.5,1973,1982,,,1973.0,1982.0,1973.0,1982.0
7020,PRINCEVILLE,QUEBEC,7026250,5437,,,46.15,-71.92,460900000.0,-715500000.0,160.0,1973,1994,,,1973.0,1994.0,1973.0,1994.0
7021,RANBORO EST,QUEBEC,7026344,5438,,,45.32,-71.52,451900000.0,-713100000.0,342.9,1973,1981,,,1973.0,1981.0,1974.0,1981.0
7022,RANBORO SUD,QUEBEC,7026345,5439,,,45.32,-71.53,451900000.0,-713200000.0,,1973,1973,,,1973.0,1973.0,1973.0,1973.0
7023,RICHMOND,QUEBEC,7026465,5440,,,45.63,-72.13,453800000.0,-720800000.0,123.1,1871,2022,,,1871.0,2022.0,1871.0,2018.0
7024,RIVIERE DES PRAIRIES,QUEBEC,7026612,5441,,,45.7,-73.5,454200000.0,-733000000.0,9.0,1973,2022,,,1973.0,2022.0,1973.0,2018.0
7025,ROUGEMONT,QUEBEC,7026700,5442,,,45.43,-73.1,452600000.0,-730600000.0,39.9,1956,1985,,,1956.0,1985.0,1962.0,1984.0
7026,ROUGEMONT,QUEBEC,7026702,42011,,MRG,45.41,-73.05,452444000.0,-730303000.0,54.0,2003,2006,2003.0,2006.0,,,,
7027,ROXTON FALLS,QUEBEC,7026730,5443,,,45.55,-72.53,453300000.0,-723200000.0,129.5,1968,1982,,,1968.0,1982.0,1968.0,1982.0
7028,RUSSELTOWN,QUEBEC,7026732,42010,,MRU,45.06,-73.8,450329000.0,-734746000.0,65.0,2003,2007,2003.0,2007.0,,,,
7029,SABREVOIS,QUEBEC,7026734,5444,,,45.22,-73.2,451300000.0,-731200000.0,38.1,1975,2021,,,1975.0,2021.0,1975.0,2018.0
7030,RUISSEAU CRANBERRY,QUEBEC,7026735,42643,,MRY,45.12,-73.68,450710000.0,-734046000.0,59.0,2004,2007,2004.0,2007.0,,,,
7031,SACRE COEUR DE MARIE,QUEBEC,7026739,5445,,,46.13,-71.17,460800000.0,-711000000.0,467.9,1964,1985,,,1964.0,1985.0,1964.0,1984.0
7032,ST ADRIEN D IRLANDE,QUEBEC,7026754,5446,,,46.12,-71.45,460700000.0,-712700000.0,442.0,1965,1982,,,1965.0,1982.0,1965.0,1982.0
7033,ST AMABLE,QUEBEC,7026818,5447,,,45.67,-73.3,454000000.0,-731800000.0,41.1,1980,2016,,,1980.0,2016.0,1980.0,2016.0
7034,ST ANICET,QUEBEC,7026836,5448,,,45.13,-74.35,450800000.0,-742100000.0,53.3,1960,2022,,,1960.0,2022.0,1960.0,2018.0
7035,STE ANNE DE BELLEVUE,QUEBEC,7026839,5449,,,45.43,-73.93,452600000.0,-735600000.0,39.0,1969,1992,,,1969.0,1992.0,1969.0,1992.0
7036,ST ANTOINE DE PONTBRIAND,QUEBEC,7026885,5450,,,46.15,-71.25,460900000.0,-711500000.0,449.6,1965,1982,,,1965.0,1982.0,1965.0,1982.0
7037,ST BENOIT LABRE,QUEBEC,7026915,5451,,,46.05,-70.8,460300000.0,-704800000.0,304.8,1965,1994,,,1965.0,1994.0,1965.0,1994.0
7038,ST BERNARD DE LACOLLE,QUEBEC,7026916,5452,,,45.08,-73.38,450500000.0,-732300000.0,49.3,1973,2022,,,1973.0,2022.0,1973.0,2018.0
7039,STE BRIGIDE,QUEBEC,7026918,5453,,,45.32,-73.07,451900000.0,-730400000.0,47.2,1977,1982,,,1977.0,1982.0,1977.0,1982.0
7040,ST BRUNO,QUEBEC,7026920,5454,,,45.55,-73.35,453300000.0,-732100000.0,61.0,1926,1958,,,1926.0,1958.0,1926.0,1958.0
7041,SAINT-CAMILLE-DE-LELLIS,QUEBEC,7026930,55158,73105.0,GSA,46.49,-70.21,462940047.0,-701225060.0,402.0,2020,2022,2020.0,2022.0,2020.0,2022.0,,
7042,STE CECILE,QUEBEC,7026936,5455,,,45.67,-70.93,454000000.0,-705600000.0,518.2,1965,1985,,,1965.0,1985.0,1965.0,1985.0
7043,STE-CLOTILDE,QUEBEC,7027039,10762,71614.0,WIT,45.17,-73.68,451002000.0,-734044000.0,53.0,1993,2022,1994.0,2022.0,1993.0,2022.0,,
7044,STE CLOTHILDE CDA,QUEBEC,7027040,5456,,,45.17,-73.68,451000000.0,-734100000.0,56.4,1937,1990,,,1937.0,1990.0,1937.0,1990.0
7045,SAINT-CELESTIN,QUEBEC,7027075,42603,,MSC,46.21,-72.45,461221000.0,-722645000.0,55.0,2004,2007,2004.0,2007.0,,,,
7046,SAINT-CHRYSOSTOME,QUEBEC,7027081,42784,,MYT,45.13,-73.77,450759042.0,-734609079.0,55.0,2004,2006,2004.0,2006.0,,,,
7047,ST COME DE LINIERE,QUEBEC,7027083,5457,,,46.05,-70.52,460300000.0,-703100000.0,243.8,1965,2022,,,1965.0,2022.0,1965.0,2018.0
7048,SAINT-CONSTANT,QUEBEC,7027084,42783,,MCT,45.33,-73.58,451948010.0,-733448070.0,39.0,2004,2006,2004.0,2006.0,,,,
7049,ST CONSTANT,QUEBEC,7027085,5458,,,45.37,-73.58,452200000.0,-733500000.0,30.5,1973,1982,,,1973.0,1982.0,1973.0,1982.0
7050,STE CROIX,QUEBEC,7027088,5459,,,46.62,-71.78,463700000.0,-714700000.0,70.0,1973,1993,,,1973.0,1993.0,1973.0,1993.0
7051,STE DOROTHEE,QUEBEC,7027110,5460,,,45.52,-73.78,453100000.0,-734700000.0,23.0,1963,1997,,,1963.0,1997.0,1963.0,1997.0
7052,STE EDWIDGE,QUEBEC,7027120,5461,,,45.2,-71.68,451200000.0,-714100000.0,381.0,1951,1985,,,1951.0,1985.0,1951.0,1985.0
7053,ST EPHREM,QUEBEC,7027200,5462,,,46.07,-70.97,460400000.0,-705800000.0,312.4,1929,2022,,,1929.0,2022.0,1929.0,2018.0
7054,ST FERDINAND,QUEBEC,7027248,5463,,,46.1,-71.58,460600000.0,-713500000.0,297.0,1965,2014,,,1965.0,2014.0,1965.0,2014.0
7055,ST FLAVIEN,QUEBEC,7027259,5464,,,46.48,-71.57,462900000.0,-713400000.0,137.2,1963,2016,,,1963.0,2016.0,1963.0,2016.0
7056,ST FLAVIEN CDA FE,QUEBEC,7027260,5465,,,46.52,-71.6,463100000.0,-713600000.0,109.7,1960,1965,,,1960.0,1965.0,1960.0,1965.0
7057,ST FORTUNAT,QUEBEC,7027264,5466,,,45.97,-71.6,455800000.0,-713600000.0,465.0,1965,1994,,,1965.0,1994.0,1965.0,1994.0
7058,STE FRANCOISE ROMAINE,QUEBEC,7027267,5482,,,46.48,-71.93,462900000.0,-715600000.0,91.4,1963,1985,,,1963.0,1985.0,1963.0,1985.0
7059,ST GEDEON,QUEBEC,7027277,5483,,,45.87,-70.62,455200000.0,-703700000.0,281.9,1965,1994,,,1965.0,1994.0,1965.0,1994.0
7060,STE GENEVIEVE,QUEBEC,7027280,5484,,,45.5,-73.85,453000000.0,-735100000.0,22.9,1952,2015,,,1952.0,2015.0,1952.0,2015.0
7061,ST GEORGES,QUEBEC,7027283,5485,,,46.15,-70.7,460900000.0,-704200000.0,167.6,1963,2022,,,1963.0,2022.0,1963.0,2018.0
7062,ST GUILLAUME,QUEBEC,7027302,5486,,,45.88,-72.77,455300000.0,-724600000.0,43.9,1963,2015,,,1963.0,2015.0,1963.0,2015.0
7063,STE HELENE DE CHESTER,QUEBEC,7027306,5487,,,46.03,-71.72,460200000.0,-714300000.0,457.2,1965,1973,,,1965.0,1973.0,1965.0,1973.0
7064,ST HERMENEGILDE,QUEBEC,7027308,5488,,,45.12,-71.7,450700000.0,-714200000.0,480.0,1965,1985,,,1965.0,1985.0,1965.0,1985.0
7065,ST HILAIRE DORSET,QUEBEC,7027309,5489,,,45.87,-70.87,455200000.0,-705200000.0,506.0,1965,1991,,,1965.0,1991.0,1965.0,1991.0
7066,MONTREAL/ST-HUBERT A,QUEBEC,7027320,5490,71371.0,YHU,45.52,-73.42,453100000.0,-732500000.0,27.4,1928,2015,1953.0,2005.0,1928.0,2015.0,1928.0,2015.0
7067,MONTREAL/ST-HUBERT A,QUEBEC,7027322,30170,71371.0,YHU,45.52,-73.42,453100000.0,-732500000.0,27.4,2004,2010,2004.0,2010.0,2005.0,2010.0,2005.0,2010.0
7068,MONTREAL/ST-HUBERT,QUEBEC,7027329,48374,71371.0,YHU,45.52,-73.42,453103000.0,-732501000.0,27.4,2009,2022,2009.0,2022.0,2009.0,2022.0,,
7069,ST HYACINTHE,QUEBEC,7027360,5491,,,45.63,-72.95,453800000.0,-725700000.0,31.1,1890,1979,,,1890.0,1979.0,1890.0,1979.0
7070,ST HYACINTHE 2,QUEBEC,7027361,5492,,,45.57,-72.92,453400000.0,-725500000.0,33.0,1963,2022,,,1963.0,2022.0,1963.0,2018.0
7071,ST ISIDORE D'AUCKLAND,QUEBEC,7027372,5493,,,45.27,-71.52,451600000.0,-713100000.0,393.5,1964,1981,,,1964.0,1981.0,1964.0,1981.0
