1.990000000000000000e+03,9.299450549450549275e+00
1.991000000000000000e+03,8.609589041095890849e+00
1.992000000000000000e+03,7.500000000000000000e+00
1.993000000000000000e+03,7.664383561643835385e+00
1.994000000000000000e+03,8.030219780219781001e+00
1.995000000000000000e+03,8.647945205479452113e+00
1.996000000000000000e+03,8.334699453551912995e+00
1.997000000000000000e+03,7.601369863013698769e+00
1.998000000000000000e+03,9.342032967032967150e+00
1.999000000000000000e+03,1.033190883190883191e+01
2.000000000000000000e+03,5.255833333333333357e+00
2.001000000000000000e+03,9.568245125348189717e+00
2.002000000000000000e+03,8.434903047091411921e+00
2.003000000000000000e+03,8.429888268156425113e+00
2.004000000000000000e+03,7.962568306010927799e+00
2.005000000000000000e+03,9.140109890109890500e+00
2.006000000000000000e+03,9.924450549450549275e+00
2.007000000000000000e+03,8.497237569060773765e+00
2.008000000000000000e+03,8.957417582417582125e+00
2.009000000000000000e+03,8.456164383561644016e+00
2.010000000000000000e+03,1.052243767313019518e+01
2.011000000000000000e+03,9.099999999999999645e+00
2.012000000000000000e+03,9.959365994236309305e+00
2.013000000000000000e+03,8.822580645161290036e+00
2.014000000000000000e+03,8.659509202453987697e+00
2.015000000000000000e+03,8.754601226993864671e+00
2.016000000000000000e+03,9.384502923976608457e+00
2.017000000000000000e+03,9.506637168141592653e+00
2.018000000000000000e+03,nan
2.019000000000000000e+03,nan
2.020000000000000000e+03,nan
